Item Name,Qty,Link,Cost
,,,
Switches,90,https://www.thecosmicbyte.com/product/gateron-mechanical-switches-compatible-with-cosmic-byte-hot-swappable-keyboards-qty-1pc/,2.12$/10 pcs
Keycaps,90,https://stackskb.com/store/veekos-gradient-keycaps-cherry-profile-135-keys/,13.75$
Rasberry Pi Pico,1,https://quartzcomponents.com/products/raspberry-pi-pico,3.47$
Rotary Encoder,1,https://robu.in/product/hongyan-ec11h-7ce20p1zy15f7-rotary-encoder-with-push-button-switch-vertical-plug-in-5-pin/?gad_source=1&gad_campaignid=20363337560&gbraid=0AAAAADvLFWdqO2q_Xrig4xmJnp_cJHA4_&gclid=Cj0KCQjwrs7RBhDuARIsAIVfBD0LrHKvlx0CBz3A5sM_YpbGS0aLnzZGAcXy8r_E9EAR5b95Tmu1EuUaAhW_EALw_wcB,0.58$
Oled Display,1,https://quartzcomponents.com/products/0-91-inch-128x32-blue-oled-display-module-with-i2c-iic-serial-interface?variant=40715109859512&country=IN&currency=INR&utm_medium=product_sync&utm_source=google&utm_content=sag_organic&utm_campaign=sag_organic&gad_source=1&gad_campaignid=21214248935&gbraid=0AAAAACPPFdNRtjhhOKGXBUj8HFQIT7Yin&gclid=Cj0KCQjwrs7RBhDuARIsAIVfBD0tR8qcj7Xi9ig0nD5XjqENH5DQIMJlOxkzwPt6ByNBCNqtdGxbNSYaAr7uEALw_wcB,1.59$
SK6812 mini E-LEDS,80,https://www.lcsc.com/product-detail/C5149201.html?s_z=n_SK6812MINI-E,6.27$
Diodes,90,https://www.lcsc.com/product-detail/C84410.html,1.65$
PCB,5,,4$
,,,
,,Total:,50$ (Approx)
